entrada, t_insertion, t_merge
27510, 650328, 6303
27560, 645927, 5897
27610, 644650, 5736
27660, 656715, 6460
27710, 654956, 5845
27760, 660390, 5985
27810, 667545, 6015
27860, 668956, 5908
27910, 667687, 6235
27960, 671727, 6780
28010, 657202, 6035
28060, 692736, 8110
28110, 677266, 6439
28160, 690448, 5965
28210, 683490, 6430
28260, 685321, 5575
28310, 684451, 6577
28360, 687541, 5691
28410, 688552, 5845
28460, 696633, 5700
28510, 694426, 5651
28560, 703590, 6228
28610, 699408, 5794
28660, 707571, 5704
28710, 707891, 5637
28760, 712851, 5960
28810, 722268, 5779
28860, 789082, 6400
28910, 736462, 6067
28960, 725096, 5771
29010, 723451, 5955
29060, 717617, 6517
29110, 728277, 6854
29160, 722558, 6047
29210, 741381, 5864
29260, 741687, 5865
29310, 730116, 5729
29360, 734614, 6854
29410, 743039, 6743
29460, 748537, 6084
29510, 748362, 5941
29560, 765643, 7340
29610, 757025, 6684
29660, 757686, 6662
29710, 754461, 5830
29760, 764248, 6305
29810, 771172, 6170
29860, 768738, 7074
29910, 773059, 6414
29960, 773631, 5969
30010, 781427, 6782
30060, 783456, 6124
30110, 787639, 7117
30160, 779005, 6662
30210, 793489, 6886
30260, 789819, 7108
30310, 789888, 6852
30360, 793771, 7167
30410, 795086, 7457
30460, 800326, 5994
30510, 819434, 6786
30560, 811414, 6525
30610, 804084, 7132
30660, 815034, 6557
30710, 814451, 6101
30760, 835169, 6551
30810, 830421, 6276
30860, 827347, 6099
30910, 825337, 6372
30960, 833989, 7257
31010, 828634, 6627
31060, 839263, 7264
31110, 845872, 6461
31160, 837418, 7394
31210, 868814, 6458
31260, 851889, 6526
31310, 852366, 7436
31360, 850493, 6334
31410, 860368, 6267
31460, 852644, 7110
31510, 871101, 7685
31560, 858763, 7469
31610, 873934, 7387
31660, 863495, 6386
31710, 871044, 7160
31760, 876304, 7117
31810, 878644, 6715
31860, 880224, 6417
31910, 889491, 6612
31960, 890199, 6676
32010, 897858, 6540
32060, 897910, 7655
32110, 888646, 7202
32160, 899997, 6564
32210, 914148, 7107
32260, 940777, 7012
32310, 913188, 7643
32360, 919367, 6560
32410, 911962, 6655
32460, 925480, 6409
32510, 927407, 6645
32560, 920169, 6919
32610, 922955, 7356
32660, 915113, 6437
32710, 917054, 7455
32760, 940411, 8337
32810, 935169, 6492
32860, 933028, 7428
32910, 928634, 7614
32960, 938692, 7281
33010, 934924, 6839
33060, 952443, 7732
33110, 959759, 7692
33160, 947776, 6885
33210, 955590, 7638
33260, 953515, 7216
33310, 965010, 7607
33360, 958506, 7897
33410, 1153867, 7819
33460, 1084354, 6670
33510, 979974, 7630
33560, 988166, 6767
33610, 1061060, 7594
33660, 987515, 6929
33710, 993605, 6678
33760, 996300, 8000
33810, 1009188, 7979
33860, 1004826, 7774
33910, 1002887, 6755
33960, 1009614, 6863
34010, 1009845, 6987
34060, 1017873, 7430
34110, 1011700, 6990
34160, 1011972, 6903
34210, 1022542, 7114
34260, 1025677, 8936
34310, 1029570, 6910
34360, 1035202, 7592
34410, 1051709, 10147
34460, 1131382, 7248
34510, 1040144, 7452
34560, 1031341, 7104
34610, 1042208, 7049
34660, 1039209, 7008
34710, 1047979, 7301
34760, 1055814, 6964
34810, 1063815, 7949
34860, 1058378, 7805
34910, 1061763, 8365
34960, 1066233, 6924
35010, 1076443, 7118
35060, 1075531, 6956
35110, 1077248, 7134
35160, 1083132, 8052
35210, 1094148, 7703
35260, 1096436, 7235
35310, 1087543, 7607
35360, 1086507, 8311
35410, 1093091, 8071
35460, 1095506, 7217
35510, 1109189, 7346
35560, 1117143, 7646
35610, 1110511, 7493
35660, 1109239, 7730
35710, 1122353, 8267
35760, 1120147, 8272
35810, 1113828, 7814
35860, 1113612, 7516
35910, 1135771, 8251
35960, 1130494, 7161
36010, 1129099, 8349
36060, 1138142, 7429
36110, 1134305, 7572
36160, 1142582, 7491
36210, 1128032, 7387
36260, 1146433, 8299
36310, 1151341, 7324
36360, 1144319, 7892
36410, 1155637, 7798
36460, 1163765, 7863
36510, 1164600, 8515
36560, 1172490, 8009
36610, 1179187, 8287
36660, 1183655, 7250
36710, 1194533, 8398
36760, 1175329, 8187
36810, 1173839, 8288
36860, 1185372, 7356
36910, 1184382, 8435
36960, 1185659, 7373
37010, 1197177, 8375
37060, 1207110, 8690
37110, 1200237, 8173
37160, 1215520, 8340
37210, 1208035, 8329
37260, 1218923, 7441
37310, 1215945, 8753
37360, 1316966, 8289
37410, 1222025, 8105
37460, 1215485, 7833
37510, 1229200, 8850
37560, 1277281, 11010
37610, 1328337, 7533
37660, 1241629, 7812
37710, 1244068, 7640
37760, 1258056, 7828
37810, 1267661, 8684
37860, 1268755, 7997
37910, 1250992, 8580
37960, 1284200, 8317
38010, 1265838, 8328
38060, 1267515, 8501
38110, 1280871, 8608
38160, 1285522, 8867
38210, 1273564, 8585
38260, 1287307, 7751
38310, 1288073, 8224
38360, 1294505, 7818
38410, 1298103, 8644
38460, 1298157, 8760
38510, 1305835, 9226
38560, 1305285, 9287
38610, 1310895, 9330
38660, 1344370, 7689
38710, 1339092, 8274
38760, 1320162, 8763
38810, 1317747, 8073
38860, 1324776, 7828
38910, 1337365, 8005
38960, 1339984, 7896
39010, 1337645, 8032
39060, 1337184, 7738
39110, 1342338, 7963
39160, 1344953, 7834
39210, 1353678, 8380
39260, 1350105, 8942
39310, 1355064, 8816
39360, 1340582, 7929
39410, 1355931, 7849
39460, 1371696, 7840
39510, 1365230, 8162
39560, 1380941, 8046
39610, 1374054, 7963
39660, 1378174, 7908
39710, 1382604, 8167
39760, 1427212, 8343
39810, 1424991, 7901
39860, 1397212, 7911
39910, 1396486, 8076
39960, 1401556, 7921
40010, 1412087, 8071
40060, 1404803, 7981
40110, 1449453, 8943
40160, 1686449, 8013
40210, 1336046, 8070
40260, 1325613, 8048
40310, 1335150, 7989
40360, 1331181, 7992
40410, 1342859, 9452
40460, 1336819, 7997
40510, 1346569, 8039
40560, 1361287, 8200
40610, 1352049, 8196
40660, 1361078, 8059
40710, 1360583, 8035
40760, 1363799, 8105
40810, 1369754, 8064
40860, 1367007, 8035
40910, 1367023, 8047
40960, 1371939, 8177
41010, 1376335, 8059
41060, 1382609, 8231
41110, 1388291, 8236
41160, 1397055, 8112
41210, 1419389, 12572
41260, 1477162, 8261
41310, 1393994, 8156
41360, 1400108, 8140
41410, 1423302, 8174
41460, 1412213, 8378
41510, 1403973, 8250
41560, 1420807, 8363
41610, 1420908, 8232
41660, 1422672, 8245
41710, 1425493, 8242
41760, 1421557, 8279
41810, 1427052, 8298
41860, 1423047, 8293
41910, 1432828, 8361
41960, 1454852, 8406
42010, 1445474, 9576
42060, 1444358, 8342
42110, 1455967, 8380
42160, 1450372, 8497
42210, 1470352, 8396
42260, 1463380, 8391
42310, 1468776, 8844
42360, 1473820, 8416
42410, 1471221, 8560
42460, 1477009, 8491
42510, 1487221, 8478
42560, 1483657, 8435
42610, 1494778, 8641
42660, 1570543, 8465
42710, 1490193, 8578
42760, 1501197, 8494
42810, 1501323, 8524
42860, 1499224, 8550
42910, 1503523, 8579
42960, 1515231, 8552
43010, 1518020, 8535
43060, 1516876, 8618
43110, 1523004, 8788
43160, 1519964, 8636
43210, 1522594, 8653
43260, 1546654, 8634
43310, 1541195, 8645
43360, 1531388, 8682
43410, 1555218, 8796
43460, 1556918, 8687
43510, 1543275, 8852
43560, 1546554, 8732
43610, 1570030, 8883
43660, 1558326, 8870
43710, 1566846, 8732
43760, 1567687, 8727
43810, 1568032, 8834
43860, 1576987, 8810
43910, 1587888, 8806
43960, 1583368, 8822
44010, 1592837, 8797
44060, 1584320, 8832
44110, 1602408, 8871
44160, 1598122, 9015
44210, 1602711, 8880
44260, 1618156, 9171
44310, 1608345, 8850
44360, 1607749, 8889
44410, 1626553, 8874
44460, 1608644, 8890
44510, 1630578, 8897
44560, 1636910, 8893
44610, 1626531, 8910
44660, 1641866, 9050
44710, 1642714, 9107
44760, 1631336, 8941
44810, 1652309, 8989
44860, 1651663, 9991
44910, 1637261, 9192
44960, 1656302, 9155
45010, 1654010, 8958
45060, 1659046, 9097
45110, 1685177, 9182
45160, 1677086, 9108
45210, 1663640, 8999
45260, 1776690, 12866
45310, 1944581, 9052
45360, 1771339, 9166
45410, 2088148, 13039
45460, 2443699, 10713
45510, 2105274, 9248
45560, 1907736, 9795
45610, 1997500, 9526
45660, 2056620, 10851
45710, 1915946, 9309
45760, 1860948, 9268
45810, 1798798, 9223
45860, 1801969, 9222
45910, 1839203, 9971
45960, 1948899, 10060
46010, 1895683, 9219
46060, 1992553, 9774
46110, 1893575, 9430
46160, 2125140, 14011
46210, 1932579, 9239
46260, 1837786, 9732
46310, 1843569, 9277
46360, 1845085, 9288
46410, 1913790, 9357
46460, 1869757, 9348
46510, 1856313, 9294
46560, 1877466, 9383
46610, 1867964, 9421
46660, 1870763, 9626
46710, 1890251, 9380
46760, 1911071, 11688
46810, 1915189, 9453
46860, 1880728, 9393
46910, 1894846, 9909
46960, 1957391, 9723
47010, 1969321, 10269
47060, 1971171, 9834
47110, 2084236, 9965
47160, 2107606, 10247
47210, 2118031, 9454
47260, 2109437, 9459
47310, 2049548, 11182
47360, 2080744, 10115
47410, 1971898, 10160
47460, 1989257, 10128
47510, 1987154, 9501
47560, 1976912, 9950
47610, 1993684, 10111
47660, 1986574, 9522
47710, 2020274, 10184
47760, 2009784, 9561
47810, 1963129, 9580
47860, 1957397, 9813
47910, 1970197, 9609
47960, 1989533, 9636
48010, 1976071, 9628
48060, 1993802, 9624
48110, 1996527, 9665
48160, 2064003, 9968
48210, 2001683, 9654
48260, 1998160, 9642
48310, 2019097, 9756
48360, 2004993, 9857
48410, 2013851, 9698
48460, 2027866, 9847
48510, 2032921, 9676
48560, 2012859, 9684
48610, 2025659, 9691
48660, 2023432, 9723
48710, 2038722, 9843
48760, 2025872, 9807
48810, 2044513, 9725
48860, 2078302, 10035
48910, 2032292, 10091
48960, 2057178, 9800
49010, 2053831, 9841
49060, 2090370, 10045
49110, 2071477, 9773
49160, 2055592, 9766
49210, 2085927, 9783
49260, 2101931, 10001
49310, 2083366, 9833
49360, 2090400, 9878
49410, 2102640, 9897
49460, 2094739, 9866
49510, 2181234, 9874
49560, 2432316, 10256
49610, 2486786, 11139
49660, 2838592, 11200
49710, 2603066, 12441
49760, 2360888, 10958
49810, 2585135, 11046
49860, 2276240, 10230
49910, 2207354, 10556
49960, 2174082, 10313
50010, 2190973, 10337
50060, 2196807, 10480
50110, 2367208, 10297
50160, 2178935, 10238
50210, 2190850, 10296
50260, 2112133, 10286
50310, 2097079, 11248
50360, 2094210, 10232
50410, 2120526, 10251
50460, 2106370, 10150
50510, 2096663, 10311
50560, 2098282, 10372
50610, 2117613, 10388
50660, 2096319, 10371
50710, 2127347, 10343
50760, 2168836, 10276
50810, 2118921, 10341
50860, 2145332, 10487
50910, 2130702, 10426
50960, 2146766, 10465
51010, 2156444, 10474
51060, 2177064, 10333
51110, 2161530, 10289
51160, 2187488, 10270
51210, 2170583, 10371
51260, 2193840, 10509
51310, 2178944, 10367
51360, 2181718, 11739
51410, 2197273, 10420
51460, 2198911, 10440
51510, 2181415, 10531
51560, 2202054, 10402
51610, 2190585, 11776
51660, 2214864, 10633
51710, 2240683, 11760
51760, 2222439, 10548
51810, 2219223, 10428
51860, 2232959, 10534
51910, 2242576, 10468
51960, 2241857, 10618
52010, 2232659, 10632
52060, 2500619, 12730
52110, 2388298, 10606
52160, 2346120, 11746
52210, 2517056, 12495
52260, 2452956, 10719
52310, 2501760, 10636
52360, 2274160, 10594
52410, 2296414, 10777
52460, 2457179, 10782
52510, 2294453, 10669
52560, 2287280, 10824
52610, 2299765, 10594
52660, 2291459, 10677
52710, 2317417, 10865
52760, 2308576, 10915
52810, 2308048, 12559
52860, 2307907, 10677
52910, 2333577, 10706
52960, 2335498, 10680
53010, 2327378, 10796
53060, 2324711, 10763
53110, 2329081, 10848
53160, 2339164, 10851
53210, 2363767, 10898
53260, 2339931, 10714
53310, 2340489, 10941
53360, 2353180, 10899
53410, 2361348, 10958
53460, 2382317, 10834
53510, 2353978, 10755
53560, 2371205, 10787
53610, 2375360, 10911
53660, 2418984, 10770
53710, 2423268, 11328
53760, 2391149, 11927
53810, 2402165, 10908
53860, 2416940, 10958
53910, 2708908, 15121
53960, 2745662, 11221
54010, 2425538, 11135
54060, 2785272, 15975
54110, 2765330, 11118
54160, 2946900, 16504
54210, 2663996, 11930
54260, 2610277, 12241
54310, 2964505, 11322
54360, 2563878, 12688
54410, 3069779, 12859
54460, 2736122, 16816
54510, 2838912, 11256
54560, 2553280, 11184
54610, 2573447, 12583
54660, 2564645, 12136
54710, 2774598, 11025
54760, 2804416, 12931
54810, 2584209, 11499
54860, 2497360, 11102
54910, 2506044, 11392
54960, 2659023, 11276
55010, 2504879, 11565
55060, 2510735, 11357
55110, 2514267, 11641
55160, 2517656, 11343
55210, 2525007, 11155
55260, 2539179, 11416
55310, 2530940, 11134
55360, 2540122, 11170
55410, 2543459, 11418
55460, 2548929, 11317
55510, 2551919, 11425
55560, 2574494, 11312
55610, 2554549, 11411
55660, 2700223, 11535
55710, 2566665, 11382
55760, 2574049, 11563
55810, 2602741, 11509
55860, 2621834, 11223
55910, 2582265, 11526
55960, 2594506, 11660
56010, 2622632, 11574
56060, 2615909, 11426
56110, 2640585, 11503
56160, 2643147, 11379
56210, 2605975, 11695
56260, 2650504, 11486
56310, 2805585, 17931
56360, 2655759, 11461
56410, 2871896, 12700
56460, 2752558, 12130
56510, 3017582, 13717
56560, 2771248, 11467
56610, 2856070, 12493
56660, 3038031, 11933
56710, 2750473, 11591
56760, 2703124, 11490
56810, 2679129, 11620
56860, 2712150, 11780
56910, 2951495, 12633
56960, 2777486, 11461
57010, 2683196, 11852
57060, 2715422, 11517
57110, 2689867, 11472
57160, 2693341, 11758
57210, 2718543, 12369
57260, 2712492, 11764
57310, 2718943, 11569
57360, 2722527, 11673
57410, 2726640, 11633
57460, 2745728, 11920
57510, 2756938, 11728
57560, 2739779, 12028
57610, 2837412, 12103
57660, 3012014, 13075
57710, 2781148, 11771
57760, 2778296, 11623
57810, 2781847, 11681
57860, 2947344, 11803
57910, 2781854, 13004
57960, 2785013, 11692
58010, 2929587, 12521
58060, 3043994, 18599
58110, 4101017, 14030
58160, 2997243, 12288
58210, 2857285, 12010
58260, 2831866, 11745
58310, 2807469, 11817
58360, 2858502, 11887
58410, 2848929, 11916
58460, 2955417, 15490
58510, 3231370, 11936
58560, 4079193, 13614
58610, 3027292, 12247
58660, 2907657, 12883
58710, 2927363, 12182
58760, 2913771, 12131
58810, 2976896, 12162
58860, 2945113, 12478
58910, 2957325, 13175
58960, 2930323, 12163
59010, 2983248, 13414
59060, 2979286, 11944
59110, 2991911, 12108
59160, 2992832, 12150
59210, 2993943, 12148
59260, 3218423, 12491
59310, 2995476, 12146
59360, 2976705, 12106
59410, 3024125, 12401
59460, 3037503, 12120
59510, 3020395, 12122
59560, 3006597, 12054
59610, 3041492, 12193
59660, 3059613, 12470
59710, 2991583, 12674
59760, 3069497, 12276
59810, 3052565, 12488
59860, 3046041, 12075
59910, 3064018, 13495
59960, 3041558, 13219
60010, 3211663, 12254
60060, 3119124, 12263
60110, 3098277, 12316
60160, 3104431, 12411
60210, 3140745, 12420
60260, 3066504, 12272
60310, 3128667, 12879
60360, 3125375, 12416
60410, 3115926, 12265
60460, 3121048, 13428
60510, 3131470, 12601
60560, 3115985, 12439
60610, 3121227, 12497
60660, 3152398, 12835
60710, 3503988, 15807
60760, 3240616, 12662
60810, 3174357, 13789
60860, 3189979, 12844
60910, 3155163, 12550
60960, 3308502, 12461
61010, 3582193, 13278
61060, 3236494, 12473
61110, 3153855, 12814
61160, 3180741, 12455
61210, 3162989, 12584
61260, 3166382, 12568
61310, 3170387, 12490
61360, 3184073, 12502
61410, 3219024, 12636
61460, 3202242, 12451
61510, 3182159, 12703
